Synset	Class	Relation
employment%1:26:00:: 	Kyoto3Middle#abstract_state	
experience%1:09:01:: 	Kyoto3Middle#abstract_state	
honour%1:26:00:: 	Kyoto3Middle#abstract_state	
promotion%1:04:00:: 	Kyoto3Middle#abstract_state	
rehabilitation%1:04:03:: 	Kyoto3Middle#abstract_state	
angle%1:09:00:: 	Kyoto3Middle#abstract_state	
aspect%1:09:00:: 	Kyoto3Middle#abstract_state	
demand%1:22:00:: 	Kyoto3Middle#abstract_state	
nationality%1:26:00:: 	Kyoto3Middle#abstract_state	
score%1:23:00:: 	Kyoto3Middle#abstract_state	
truth%1:26:00:: 	Kyoto3Middle#abstract_state	
value%1:21:00:: 	Kyoto3Middle#abstract_state	
noise%1:07:00:: 	DOLCE-Lite.owl#abstract-region	
pollution%1:04:00:: 	DOLCE-Lite.owl#accomplishment	
crash%1:11:00:: 	DOLCE-Lite.owl#acheivement	
robbery%1:04:00:: 	ExtendedDnS.owl#action	
abuse%1:04:02:: 	ExtendedDnS.owl#action	
acceptance%1:04:00:: 	ExtendedDnS.owl#action	
assault%1:04:01:: 	ExtendedDnS.owl#action	
assault%1:04:02:: 	ExtendedDnS.owl#action	
assembly%1:04:01:: 	ExtendedDnS.owl#action	
blackmail%1:04:00:: 	ExtendedDnS.owl#action	
blow%1:04:01::	ExtendedDnS.owl#action	
call%1:10:01:: 	ExtendedDnS.owl#action	
check%1:04:04:: 	ExtendedDnS.owl#action	
commitment%1:04:00:: 	ExtendedDnS.owl#action	
confession%1:10:00:: 	ExtendedDnS.owl#action	
contact%1:04:02:: 	ExtendedDnS.owl#action	
cut%1:04:03:: 	ExtendedDnS.owl#action	
demand%1:10:00:: 	ExtendedDnS.owl#action	
diet%1:04:00:: 	ExtendedDnS.owl#action	
entertainment%1:04:00:: 	ExtendedDnS.owl#action	
favor%1:04:00:: 	ExtendedDnS.owl#action	
fraud%1:04:01:: 	ExtendedDnS.owl#action	
hand%1:04:00:: 	ExtendedDnS.owl#action	
insistence%1:04:00:: 	ExtendedDnS.owl#action	
leave%1:04:00:: 	ExtendedDnS.owl#action	
opposition%1:04:01:: 	ExtendedDnS.owl#action	
process%1:04:00:: 	ExtendedDnS.owl#action	
promise%1:10:00:: 	ExtendedDnS.owl#action	
reaction%1:19:01:: 	ExtendedDnS.owl#action	
resolution%1:04:00:: 	ExtendedDnS.owl#action	
response%1:10:02:: 	ExtendedDnS.owl#action	
solo%1:04:01:: 	ExtendedDnS.owl#action	
step%1:04:02:: 	ExtendedDnS.owl#action	
tap%1:04:01:: 	ExtendedDnS.owl#action	
visit%1:04:02:: 	ExtendedDnS.owl#action	
voyage%1:04:00:: 	ExtendedDnS.owl#action ; Kyoto#change_of_location__movement_11-eng-3.0-00280586n	
